void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.636719, 0.716146, 0.715625, 0.0625, 0.414063, 0.160156, 0.901042
standard deviation of all , 0.20518, 0.189354, 0.240259, 0.112191, 0.105686, 0.110416, 0.144994
