void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.671474, 0.755342, 0.70641, 0.119658, 0.4375, 0.153846, 0.895299
standard deviation of all , 0.157427, 0.134497, 0.185078, 0.166447, 0.191464, 0.149683, 0.134395
