void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.9375, 0.733333, 0.666667, 0.7, 0.57, 0.55
standard deviation of all , 0.0790569, 0.227608, 0.182574, 0.11607, 0.107703, 0.124722
