void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.697115, 0.804487, 0.703846, 0.102564, 0.461538, 0.115385, 0.884615
standard deviation of all , 0.164167, 0.0823412, 0.147363, 0.160641, 0.172542, 0.133927, 0.161915
