void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.894231, 0.634615, 0.665598, 0.691239, 0.578205, 0.602564
standard deviation of all , 0.129064, 0.175883, 0.149634, 0.089374, 0.11591, 0.130009
