void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.692308, 0.721154, 0.723077, 0.160256, 0.384615, 0.1875, 0.891026
standard deviation of all , 0.179244, 0.163744, 0.211783, 0.210467, 0.167788, 0.197642, 0.110286
