void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.899038, 0.634615, 0.701923, 0.695513, 0.619231, 0.602564
standard deviation of all , 0.0966334, 0.169175, 0.110658, 0.0342214, 0.0721602, 0.109163
