void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.6625, 0.666667, 0.71, 0.0166667, 0.4125, 0.1625, 0.866667
standard deviation of all , 0.203869, 0.151383, 0.251794, 0.0333333, 0.11592, 0.140312, 0.194365
