void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.6375, 0.65, 0.66, 0.0333333, 0.425, 0.1625, 0.8
standard deviation of all , 0.206912, 0.171998, 0.318434, 0.0666667, 0.107529, 0.128695, 0.171594
