void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.5375, 0.716667, 0.68, 0.0666667, 0.4125, 0.1625, 0.883333
standard deviation of all , 0.203869, 0.256038, 0.237908, 0.133333, 0.0847791, 0.0935414, 0.124722
