void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.903846, 0.586538, 0.673077, 0.740385, 0.615385, 0.608974
standard deviation of all , 0.0835488, 0.157997, 0.0978483, 0.0656856, 0.0885451, 0.0825904
