void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.875, 0.671875, 0.708333, 0.6875, 0.56875, 0.59375
standard deviation of all , 0.132583, 0.202991, 0.185171, 0.0919975, 0.142385, 0.101529
