void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.548077, 0.791667, 0.676923, 0.153846, 0.504808, 0.139423, 0.878205
standard deviation of all , 0.159163, 0.107168, 0.138141, 0.166173, 0.204313, 0.12048, 0.168628
