void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.875, 0.6, 0.566667, 0.65, 0.48, 0.583333
standard deviation of all , 0.16298, 0.148137, 0.177951, 0.0565194, 0.0927362, 0.0912871
