void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.788462, 0.769231, 0.776923, 0.0512821, 0.389423, 0.139423, 0.897436
standard deviation of all , 0.102664, 0.12297, 0.132455, 0.0835795, 0.162895, 0.12048, 0.118546
