void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.7625, 0.708333, 0.658333, 0.633333, 0.61, 0.616667
standard deviation of all , 0.133463, 0.146723, 0.206492, 0.071686, 0.174356, 0.1
