void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.879808, 0.685897, 0.676282, 0.663462, 0.526923, 0.589744
standard deviation of all , 0.167098, 0.209685, 0.140734, 0.117239, 0.147564, 0.183338
