void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.899038, 0.679487, 0.689103, 0.730769, 0.569231, 0.615385
standard deviation of all , 0.10555, 0.116006, 0.0933347, 0.0777202, 0.130882, 0.0835795
