void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.8625, 0.65, 0.733333, 0.7, 0.49, 0.516667
standard deviation of all , 0.107529, 0.236584, 0.125277, 0.103414, 0.128062, 0.110554
