void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.6875, 0.6, 0.61, 0.0833333, 0.4125, 0.1875, 0.916667
standard deviation of all , 0.111803, 0.179892, 0.171464, 0.129099, 0.11592, 0.0559017, 0.129099
